name,count,amount,state,year,quarter,source,category,level,country,date,avg_transaction_value,growth
chennai,12059,12069618.0,All,2022,3,top,insurance,districts,india,2022-Q3,1000.8805041877436,-0.10020892404118786
rangareddy,11801,15523643.0,All,2022,3,top,insurance,districts,india,2022-Q3,1315.451487162105,-0.021394808856455727
mumbai suburban,11136,11840245.0,All,2022,3,top,insurance,districts,india,2022-Q3,1063.2403915229886,-0.05635115668163715
hyderabad,10560,12374531.0,All,2022,3,top,insurance,districts,india,2022-Q3,1171.8305871212121,-0.051724137931034475
medchal malkajgiri,10158,12806190.0,All,2022,3,top,insurance,districts,india,2022-Q3,1260.6999409332545,-0.038068181818181834
gurugram,10085,10744733.0,All,2022,3,top,insurance,districts,india,2022-Q3,1065.4172533465544,-0.007186454026383182
jaipur,9778,11871696.0,All,2022,3,top,insurance,districts,india,2022-Q3,1214.1231335651462,-0.03044124938026771
560068,2861,3528404.0,All,2022,3,top,insurance,pincodes,india,2022-Q3,1233.276476756379,-0.7074043771732461
500072,2176,2594114.0,All,2022,3,top,insurance,pincodes,india,2022-Q3,1192.1479779411766,-0.23942677385529532
560037,2120,2606805.0,All,2022,3,top,insurance,pincodes,india,2022-Q3,1229.625,-0.02573529411764708
560043,2030,2571392.0,All,2022,3,top,insurance,pincodes,india,2022-Q3,1266.695566502463,-0.04245283018867929
560076,1945,2478555.0,All,2022,3,top,insurance,pincodes,india,2022-Q3,1274.3213367609255,-0.041871921182266014
122001,1932,1913882.0,All,2022,3,top,insurance,pincodes,india,2022-Q3,990.6221532091097,-0.006683804627249379
